Type	Category	Concept	Grade	Time (mins)	Name	Source	Description
Lesson	Coding	Abstraction	4+	50+	Mad glibs	https://code.org/curriculum/course4/5/Teacher	Abstraction is one of the most important skills for a computer scientist to understand. It simplifies problems and prevents unnecessary repetition. A good coder uses abstraction just about every time she creates a program. This activity will have your students analyze stories for differences so that they can abstract them away.
Lesson	Coding	Algorithms	.K+	10-15+	Peanut butter and jelly robot	https://www.howtosmile.org/resource/smile-000-000-000-704	This is an activity about robotics programming. Learners will discover how precise programmers have to be as they instruct a friend to make a peanut butter and jelly sandwich. This is a great activity for both the "programmer" and the "robot" to use their creativity to its fullest.
Lesson	Coding	Algorithms	.K+	45-50+	fuzzFamily Frenzy (Advanced)	https://www.kodable.com/hour-of-code/lessons/lesson_advanced_kindergarten	An advanced unplugged lesson on using algorithms to move a "robot" (coder) around a path.
Lesson	Coding	Algorithms	.K+	45-50+	fuzzFamily Frenzy (Beginner)	https://www.kodable.com/hour-of-code/lessons/lesson_beginner_kindergarten	A beginner unplugged lesson on using algorithms to move a "robot" (coder) around a path.
Lesson	Coding	Algorithms	.K+	45+	Happy maps	https://code.org/curriculum/course1/1/Teacher	At the root of all computer science is something called an algorithm. The word “algorithm” may sound like something complicated, but really it’s just a list of instructions that someone can follow to achieve a result.
Lesson	Coding	Algorithms	.K+	50+	Move it, move it	https://code.org/curriculum/course1/2/Teacher	This lesson will help students realize that in order to give clear instructions, they need a common language. Students will practice controlling one another using a simple combination of hand gestures.
Lesson	Coding	Algorithms	.K+	50+	Real life algorithms: Plant a seed	https://code.org/curriculum/course1/6/Teacher	In this lesson, students will relate the concept of algorithms back to everyday real-life activities by planting an actual seed. The goal here is to start building the skills to translate real-world situations to online scenarios and vice versa.
Lesson	Coding	Algorithms	.K+	60+	My robotic friends	https://csedweek.org/unplugged/thinkersmith	Using a predefined “Robot Vocabulary” your students will figure out how to guide one another to accomplish specific tasks without discussing them first. This segment teaches students the connection between symbols and actions, as well as the valuable skill of debugging.
Lesson	Coding	Algorithms	.K+	60+	Sentence puzzles (ELA Integration)	https://www.kodable.com/hour-of-code/lessons/lesson_ela_kindergarten	An ELA centered lesson plan on using algorithmic sequences to write a sentence.
Lesson	Coding	Algorithms	.K+	NA	How to train your robot	https://drtechniko.com/2012/04/09/how-to-train-your-robot/	The game works as follows: every kid is turned into a “robot master” and their mom or dad becomes their “robot”. I give each kid a “Robot Language Dictionary” and explain to them that this is the language their robot understands. The dictionary has symbols for “move left leg forward”, “turn left”, “grab”, “drop” etc.
Lesson	Coding	Algorithms	.K+	NA	Human crane	http://code-it.co.uk/wp-content/uploads/2015/05/humancraneplan.pdf	A lesson where kids create and test crane algorithms that move blocks from one bowl to another.
Lesson	Coding	Algorithms	.K+	NA	The hokey pokey	http://www.nikkidrobertson.com/2014/12/unplugged-hour-of-code-with-hokey-pokey.html	Using code to program the hokey pokey.
Lesson	Coding	Algorithms	1+	45-50+	fuzzFamily Frenzy (Beginner)	https://www.kodable.com/hour-of-code/lessons/lesson_beginner_first	A beginner unplugged lesson on using algorithms to move a "robot" (coder) around a path.
Lesson	Coding	Algorithms	1+	60+	Letter to a friend (ELA Integration)	https://www.kodable.com/hour-of-code/lessons/lesson_ela_first	An ELA centered lesson plan on using algorithmic sequences to write a letter.
Lesson	Coding	Algorithms	2+	10-15+	Sentence checker algorithm	http://code-it.co.uk/grammaralgorithms	An activity to reinforce grammar rules using computing science concepts. This could be used as a homework activity or as an alternative strategy within a literacy lesson. Pupils convert sentence grammar rules into a flowchart algorithm they can use to check their sentences.
Lesson	Coding	Algorithms	2+	30+	The poor cartographer	http://csunplugged.org/graph-colouring/	Coloring a map (which is equivalent to a graph) sounds like a simple task, but in computer science this problem epitomizes a major area of research looking for solutions to problems that are easy to make up, but seem to require an intractable amount of time to solve. This activity introduces graph colouring, and leads on to many variations and extensions that reach the cutting edge of computer science.
Lesson	Coding	Algorithms	2+	45-50+	fuzzFamily Frenzy (Beginner)	https://www.kodable.com/hour-of-code/lessons/lesson_beginner_second	A beginner unplugged lesson on using algorithms to move a "robot" (coder) around a path
Lesson	Coding	Algorithms	2+	60+	Letter to a friend (ELA Integration)	https://www.kodable.com/hour-of-code/lessons/lesson_ela_second	An ELA centered lesson plan on using algorithmic sequences to write a letter.
Lesson	Coding	Algorithms	2+	NA	Beat the clock	http://csunplugged.org/sorting-networks/	To make computers go faster, it can be a lot more effective to have several slower computers working on a problem than a single fast one. This raises questions about how much of the computation can be done at the same time. Here we use a fun team activity to demonstrate an approach to parallel sorting. It can be done on paper, but we like to get students to do it on a large scale, running from node to node in the network.
Lesson	Coding	Algorithms	2+	NA	Getting up	http://code-it.co.uk/unplugged/gettingup	Writing an algorithm (accurate sequence of instructions to achieve a goal) focussed around getting up and getting to school, using Microsoft Publisher as the recording medium. Although this can be done on paper, pupils make so many mistakes that easy editing and rearranging is of real value.
Lesson	Coding	Algorithms	2+	NA	Marching orders	http://csunplugged.org/programming-languages/	Computer programs are sequences of instructions that the computer must follow. There are hundreds of computer languages, but all involve giving clear and unambiguous instructions to a devices that doesn’t understand meanings. This activity demonstrates some of the issues that arise when we try to give precise instructions to achieve a desired outcome.
Lesson	Coding	Algorithms	3+	10+	Emotional robot video	https://teachinglondoncomputing.org/free-workshops/programming-unplugged-programming-without-computers/	This activity aims to show that the future of human-computer interaction is not about keyboards and mice. In the future computers will be able to understand the subtleties of human-human interaction. We focus here on the way we react to facial expressions and tone of voice. it also demonstrates that a robot "brain" based on a neural network can learn human-like behaviour in the form of emotions.
Lesson	Coding	Algorithms	3+	45-50+	fuzzFamily Frenzy (Beginner)	https://www.kodable.com/hour-of-code/lessons/lesson_beginner_third	A beginner unplugged lesson on using algorithms to move a "robot" (coder) around a path.
Lesson	Coding	Algorithms	3+	50+	Graph paper programming	https://code.org/curriculum/course2/1/Teacher	By "programming" one another to draw pictures, students will begin to understand what programming is really about. The class will begin by having students instruct each other to color squares in on graph paper in an effort to reproduce an existing picture.
Lesson	Coding	Algorithms	3+	50+	Real life algorithms: Paper planes	https://code.org/curriculum/course2/2/Teacher	In this lesson, students will relate the concept of algorithms back to everyday real-life activities by making paper airplanes. The goal here is to start building the skills to translate real-world situations to online scenarios and vice versa.
Lesson	Coding	Algorithms	3+	60+	Write a short story (ELA Integration)	https://www.kodable.com/hour-of-code/lessons/lesson_ela_third	An ELA centered lesson plan on using algorithmic sequences to create a story.
Lesson	Coding	Algorithms	3+	NA	Lightest and heaviest	http://csunplugged.org/sorting-algorithms/	Almost any list that comes out of a computer is sorted into some sort of order, and there are many more sorted lists inside computers that the user doesn’t see. Many clever algorithms have been devised for putting values into order efficiently. In this activity students compare different algorithms to sort weights in order.
Lesson	Coding	Algorithms	4+	45-50+	fuzzFamily Frenzy (Beginner)	https://www.kodable.com/hour-of-code/lessons/lesson_beginner_fourth	A beginner unplugged lesson on using algorithms to move a "robot" (coder) around a path.
Lesson	Coding	Algorithms	4+	50+	Create-a-face: Programming an emotional robot	https://teachinglondoncomputing.org/free-workshops/programming-unplugged-programming-without-computers/	This is an exploration of affective computing, which relates to moods and emotions. The class make an affective (relating to moods and emotions) robot face out of card, tubes and themselves. It is programmed to react to different kinds of sounds (nasty, nice or sudden) and show different emotions (sad, happy, surprised). The class then think up some other facial expressions and program sets of rules to make the face respond to sounds with new expressions.
Lesson	Coding	Algorithms	4+	50+	Dice race	https://code.org/curriculum/course3/10/Teacher	In this lesson, students will relate the concept of algorithms back to everyday real-life activities by playing the Dice Race game. The goal here is to start building the skills to translate real-world situations to online scenarios and vice versa.
Lesson	Coding	Algorithms	4+	60+	Write a short story (ELA Integration)	https://www.kodable.com/hour-of-code/lessons/lesson_ela_fourth	An ELA centered lesson plan on using algorithmic sequences to create a story.
